SP_1.csv,SP_10.csv,SP_11.csv,SP_12.csv,SP_13.csv,SP_2.csv,SP_3.csv,SP_4.csv,SP_5.csv,SP_6.csv,SP_7.csv,SP_8.csv,SP_9.csv
61151.0000,47382.5000,59001.5000,52442.5000,44688.0000,45279.0000,39914.0000,37338.5000,35575.0000,56721.0000,50762.5000,43747.5000,47439.5000
61025.5000,47004.5000,58607.0000,52017.5000,44294.5000,44946.0000,39509.5000,37014.0000,35316.0000,56513.5000,50309.0000,43335.5000,47253.5000
60727.0000,46672.0000,58274.0000,51724.0000,43970.0000,44547.5000,39307.5000,36757.5000,35270.5000,56132.0000,49941.5000,43009.0000,46901.5000
60602.0000,46511.0000,58081.0000,51725.0000,44032.5000,44494.0000,39237.0000,36729.5000,35139.0000,55911.5000,49865.0000,42864.5000,46769.5000
60547.0000,46484.5000,57862.5000,51399.0000,43804.0000,44565.5000,38976.0000,36523.0000,34959.0000,55824.5000,49654.5000,42572.5000,46600.5000
60300.0000,46252.5000,57766.0000,51300.0000,43606.0000,44201.0000,38922.0000,36433.5000,34686.0000,55445.0000,49648.0000,42681.0000,46495.5000
60374.5000,46484.5000,57703.0000,51532.0000,43927.5000,44555.5000,39059.5000,36712.0000,35039.5000,55760.5000,49743.0000,42751.5000,46612.5000
60286.5000,46377.5000,57734.5000,51508.0000,43791.0000,44415.5000,39062.5000,36523.0000,34959.5000,55706.5000,49626.5000,42694.0000,46610.5000
59974.0000,46030.0000,57391.0000,51052.0000,43446.0000,44193.0000,38784.0000,36292.0000,34749.5000,55228.5000,49347.5000,42455.0000,46251.0000
59638.0000,45787.0000,56954.5000,50716.0000,43173.0000,43850.0000,38544.0000,35990.5000,34430.5000,54906.0000,48988.0000,42102.5000,46047.0000
59723.0000,45786.0000,57034.5000,50714.5000,43310.5000,43944.0000,38563.0000,36116.5000,34586.0000,54929.5000,49286.0000,42227.5000,46012.0000
60140.5000,45906.0000,57340.0000,51038.0000,43499.5000,44224.0000,38890.0000,36309.0000,34654.0000,55108.5000,49233.0000,42408.0000,46130.5000
60386.0000,46149.5000,57570.5000,51229.0000,43753.0000,44321.0000,38964.0000,36571.0000,34927.0000,55409.5000,49479.0000,42641.0000,46392.0000
60263.0000,46081.0000,57396.5000,51264.5000,43685.5000,44233.0000,38981.5000,36299.0000,34996.5000,55244.5000,49364.5000,42390.5000,46324.0000
59489.5000,45613.0000,56768.5000,50649.0000,43122.0000,43726.5000,38495.5000,35955.5000,34360.0000,54827.0000,48849.5000,41859.0000,45769.0000
58791.0000,45143.5000,56209.0000,50100.0000,42733.5000,43187.0000,38130.0000,35577.0000,33989.5000,54175.5000,48298.5000,41688.0000,45214.5000
58615.5000,44926.0000,55820.5000,49881.5000,42510.0000,43053.5000,37823.0000,35393.0000,33736.0000,53789.0000,48035.0000,41382.5000,45033.5000
58229.5000,44845.0000,55860.5000,49742.5000,42285.5000,42846.0000,37713.5000,35201.0000,33718.5000,53653.5000,47868.0000,41249.0000,45063.5000
58140.0000,44609.0000,55894.0000,49666.5000,42374.0000,42691.0000,37559.5000,35134.5000,33521.0000,53596.0000,47973.5000,41143.0000,44884.0000
58283.0000,44824.5000,55868.5000,49618.5000,42245.0000,42794.5000,37610.0000,35231.0000,33626.5000,53741.0000,47820.5000,41130.5000,45017.0000
57961.0000,44659.5000,55495.0000,49498.5000,42191.0000,42553.5000,37453.0000,35021.0000,33580.5000,53624.5000,47741.5000,41021.5000,45001.0000
58182.0000,44562.0000,55532.0000,49585.5000,42085.0000,42740.5000,37529.5000,34956.5000,33546.5000,53457.0000,47688.5000,40973.5000,44812.5000
58200.5000,44848.5000,55861.0000,49723.0000,42279.0000,42742.0000,37570.0000,35115.0000,33482.0000,53649.5000,47877.5000,40903.5000,45027.5000
58756.5000,44977.5000,55946.5000,49917.0000,42443.0000,43017.0000,37870.0000,35299.5000,33677.5000,53931.5000,48069.0000,41286.5000,45034.5000
59265.5000,45386.5000,56495.0000,50448.0000,42905.5000,43483.0000,38149.5000,35620.0000,34153.0000,54393.0000,48390.5000,41524.0000,45470.0000
60319.5000,46110.5000,57444.5000,51040.0000,43570.5000,44134.0000,38861.0000,36287.0000,34465.0000,55265.5000,49263.5000,42299.0000,46058.5000
61073.0000,46738.0000,58460.0000,52213.0000,44366.5000,44771.5000,39414.0000,36914.5000,35073.0000,56275.0000,50083.5000,43209.5000,47079.0000
61488.5000,47306.5000,59220.0000,52503.0000,44778.0000,45232.5000,39922.5000,37244.0000,35531.0000,56986.5000,50823.0000,43615.0000,47508.0000
61602.5000,47178.0000,59000.0000,52538.5000,44782.0000,45583.0000,39933.5000,37328.5000,35880.5000,56987.0000,50898.0000,43814.5000,47727.0000
61376.0000,46865.0000,58561.5000,52230.5000,44592.0000,45098.5000,39765.5000,37214.5000,35455.5000,56706.5000,50382.5000,43379.5000,47253.0000
60699.5000,46376.5000,57810.0000,51396.0000,44006.5000,44643.0000,39172.5000,36740.5000,35018.5000,55866.0000,49524.5000,42770.5000,46488.0000
59594.0000,45644.5000,57016.0000,50766.0000,43415.5000,43902.5000,38638.0000,36138.0000,34660.5000,54854.0000,48882.0000,42179.5000,45936.0000
58886.5000,45075.0000,56283.5000,50268.0000,42724.5000,43315.0000,38096.5000,35748.0000,34264.0000,54049.5000,48250.5000,41586.5000,45293.5000
58589.5000,44636.0000,55572.5000,49688.0000,42396.5000,42971.0000,37740.5000,35376.5000,33774.0000,53517.0000,47962.5000,41307.0000,44869.0000
57740.0000,44300.0000,55220.0000,49033.0000,41953.0000,42443.5000,37412.5000,34976.0000,33414.0000,53058.5000,47181.0000,40711.0000,44464.5000
57604.0000,44225.5000,55134.0000,48924.5000,41728.0000,42355.0000,37306.0000,34883.0000,33297.0000,52876.5000,47209.0000,40497.5000,44299.0000
57650.5000,44232.5000,54970.5000,48991.5000,41696.5000,42303.0000,37075.0000,34695.0000,33271.0000,52806.0000,46984.5000,40384.0000,44333.0000
57454.0000,44119.5000,55088.0000,48931.0000,41627.0000,42197.0000,37215.5000,34754.0000,33248.5000,52731.5000,47194.5000,40468.5000,44256.5000
57401.5000,44062.5000,54928.0000,48724.0000,41415.5000,41934.0000,36835.0000,34543.0000,32939.0000,52569.0000,46825.0000,40369.5000,44236.5000
57130.0000,43679.0000,54512.5000,48457.0000,41310.5000,41797.0000,36786.5000,34289.0000,32971.0000,52389.5000,46672.0000,40153.5000,43873.0000
56989.0000,43612.0000,54435.5000,48466.0000,41371.5000,41738.5000,36839.0000,34348.0000,32852.0000,52337.0000,46802.5000,39973.5000,43839.5000
56991.5000,43976.5000,54680.5000,48578.5000,41195.5000,41813.5000,36846.0000,34501.5000,32982.5000,52371.0000,46838.5000,40161.5000,44039.5000
57496.0000,43997.0000,54810.0000,48881.5000,41539.0000,42051.0000,37061.5000,34681.0000,33112.5000,52688.0000,46965.5000,40427.0000,44137.0000
58306.5000,44548.0000,55637.0000,49601.5000,42240.0000,42757.0000,37631.5000,35209.0000,33714.5000,53444.5000,47665.5000,40917.5000,44798.5000
59591.0000,45365.5000,56726.5000,50668.0000,43065.5000,43603.5000,38471.5000,35975.5000,34581.0000,54723.0000,48691.0000,42086.5000,45744.0000
61028.5000,46476.5000,58093.5000,51575.0000,44170.0000,44813.5000,39466.0000,36969.5000,35391.0000,56034.0000,49788.0000,43155.0000,46605.0000
61594.0000,47176.0000,58788.5000,52490.5000,44997.0000,45682.5000,40298.5000,37719.0000,36065.5000,57014.0000,50585.0000,43708.0000,47437.0000
61541.5000,47077.0000,58886.5000,52506.5000,45207.0000,45669.5000,40292.0000,37497.0000,35985.5000,57123.0000,50760.5000,43772.0000,47415.0000
61089.0000,46538.0000,57938.5000,51732.0000,44283.0000,45070.0000,39591.0000,37044.0000,35433.0000,56062.5000,49901.5000,42977.0000,46657.0000
59448.0000,45223.0000,56497.5000,50319.5000,42980.5000,43457.0000,38384.5000,36007.5000,34360.5000,54418.0000,48317.0000,41818.0000,45386.0000
57728.0000,44067.0000,55090.0000,49257.0000,41916.0000,42546.5000,37301.0000,35010.5000,33477.0000,53151.0000,47207.0000,40803.0000,44392.5000
56949.5000,43411.5000,54210.5000,48288.5000,41078.5000,41679.0000,36535.0000,34311.0000,32781.5000,52001.0000,46465.5000,39885.5000,43733.0000
56148.5000,42951.5000,53633.0000,47620.5000,40797.0000,41195.0000,36186.5000,33838.0000,32395.0000,51626.0000,45978.0000,39592.0000,43059.0000
56223.5000,43086.0000,53956.5000,47707.5000,40633.0000,41200.0000,36227.0000,33901.0000,32429.0000,51533.5000,46003.0000,39558.5000,43175.0000
56716.5000,43499.0000,54259.5000,48135.5000,41099.0000,41553.0000,36438.5000,34210.0000,32823.0000,52245.0000,46454.5000,39904.0000,43770.5000
58330.0000,44695.0000,55688.5000,49515.5000,42193.0000,42682.5000,37528.5000,35054.0000,33518.5000,53641.0000,47803.5000,41000.5000,44618.0000
61212.5000,46584.0000,58432.0000,51932.0000,44346.5000,44754.0000,39184.0000,36699.0000,35073.5000,56415.0000,50093.5000,43068.5000,46724.5000
62933.0000,49644.5000,62045.0000,55238.0000,47366.5000,47689.5000,41788.0000,39092.5000,37402.0000,60292.5000,53460.0000,45929.0000,49691.0000
64556.5000,51553.0000,63465.5000,57713.5000,49375.0000,49959.0000,43960.5000,40961.5000,39223.0000,61731.0000,55764.0000,48364.0000,51944.0000
64599.5000,51621.0000,63518.5000,57767.0000,49577.5000,50287.5000,44314.0000,41358.0000,39714.5000,61812.5000,56023.0000,48490.0000,51857.0000
64295.0000,51138.5000,63260.0000,57109.0000,49212.0000,49923.5000,44050.5000,41180.5000,39639.0000,61302.0000,55399.0000,48013.0000,51477.5000
