SP_21.csv,SP_22.csv,SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_32.csv,SP_33.csv,SP_34.csv,SP_35.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv
64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000
64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000,64747.0000
64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000,64748.0000
64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000,64655.0000
64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000,64704.5000
64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000
64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000,64673.5000
64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000,64708.0000
64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000
64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000,64721.5000
64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000
64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000,64530.0000
64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000,64623.0000
64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000,64706.0000
64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000,64720.5000
64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000
64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000
64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000
64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000
