SP_61.csv,SP_62.csv,SP_63.csv,SP_65.csv,SP_67.csv,SP_68.csv,SP_69.csv,SP_70.csv,SP_71.csv,SP_72.csv,SP_73.csv,SP_74.csv,SP_75.csv,SP_76.csv
64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000,64726.5000
64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000,64730.5000
64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000,64718.0000
64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000
64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000
64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000,64725.5000
64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000,64302.5000
64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,64734.5000
64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000,64754.0000
64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000,64702.5000
64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000,64677.5000
64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000,64733.0000
64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000,64736.5000
64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000,64699.5000
64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000,64739.5000
64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000,64739.0000
64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000,64713.0000
64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000
64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000,64729.5000
64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000,64669.5000
64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000,64743.5000
64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000,64698.0000
64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,64724.5000
