SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv,SP_40.csv
5002.0000,4653.0000,5972.5000,5734.0000,4964.5000,4295.5000,4950.5000,4075.5000,4867.5000,7851.0000,7460.5000,7649.0000,7752.0000,7174.5000
5021.0000,4631.0000,5897.0000,5677.5000,4911.0000,4214.5000,4924.5000,4111.5000,4828.5000,7756.5000,7509.5000,7531.5000,7757.0000,7071.5000
5021.5000,4626.5000,5941.5000,5698.5000,4990.0000,4249.0000,4889.5000,4122.0000,4932.5000,7881.5000,7453.0000,7616.5000,7791.5000,7259.5000
5011.0000,4658.5000,5955.5000,5716.0000,4958.0000,4245.0000,4864.5000,4096.0000,4830.5000,7803.5000,7486.0000,7587.0000,7725.5000,7173.0000
5019.5000,4706.0000,5919.0000,5761.5000,5006.5000,4312.0000,4958.0000,4151.5000,4873.0000,7807.0000,7523.5000,7560.0000,7787.5000,7223.5000
5022.5000,4673.5000,5951.5000,5715.5000,4904.0000,4293.0000,4912.5000,4106.5000,4919.0000,7778.0000,7531.5000,7629.5000,7798.0000,7215.0000
5138.5000,4692.0000,5965.5000,5767.0000,5029.0000,4326.5000,4971.5000,4146.5000,4875.5000,7823.5000,7542.5000,7748.5000,7806.5000,7249.5000
5020.5000,4684.5000,5923.5000,5754.0000,4991.5000,4328.5000,4936.5000,4121.0000,4907.0000,7766.0000,7533.0000,7689.5000,7766.0000,7160.0000
4999.0000,4674.5000,5871.5000,5724.5000,4913.0000,4268.5000,4935.5000,4119.5000,4825.0000,7787.0000,7456.0000,7599.0000,7822.5000,7181.0000
5020.0000,4624.0000,5950.0000,5661.0000,4905.0000,4237.5000,4857.0000,4098.0000,4801.0000,7738.0000,7489.0000,7651.5000,7696.0000,7204.5000
5002.0000,4624.5000,5879.5000,5727.5000,4945.5000,4244.5000,4917.0000,4163.5000,4919.0000,7748.0000,7440.5000,7570.0000,7789.0000,7146.5000
4998.5000,4618.0000,6017.0000,5671.5000,4941.0000,4312.5000,4886.0000,4073.0000,4800.0000,7774.0000,7480.5000,7496.5000,7707.0000,7190.0000
4976.5000,4616.0000,5821.0000,5714.0000,4878.5000,4234.5000,4958.5000,4082.5000,4774.0000,7761.0000,7430.5000,7562.5000,7703.0000,7156.0000
4919.0000,4640.0000,5819.0000,5646.0000,4992.0000,4303.5000,4846.0000,4068.5000,4825.5000,7681.0000,7380.5000,7535.0000,7683.0000,7137.0000
4988.5000,4632.0000,5866.0000,5616.0000,4899.0000,4259.0000,4901.5000,4115.5000,4782.0000,7712.5000,7378.0000,7494.5000,7742.5000,7126.0000
4934.5000,4572.5000,5846.0000,5657.5000,4926.0000,4215.5000,4788.5000,4067.0000,4766.5000,7673.0000,7320.0000,7503.0000,7624.5000,7084.0000
4880.0000,4560.0000,5846.5000,5628.0000,4899.5000,4201.0000,4851.0000,4027.5000,4769.0000,7628.5000,7406.5000,7492.0000,7629.0000,7020.5000
4938.0000,4547.5000,5787.5000,5557.5000,4868.0000,4216.0000,4844.5000,4040.5000,4788.5000,7527.5000,7300.5000,7470.5000,7581.5000,7014.5000
4896.0000,4541.5000,5785.5000,5554.0000,4849.5000,4226.0000,4804.0000,4043.0000,4738.0000,7594.0000,7275.0000,7381.0000,7630.0000,6977.5000
4917.5000,4548.5000,5769.5000,5512.0000,4834.5000,4181.5000,4778.0000,4023.5000,4741.0000,7640.5000,7291.0000,7473.0000,7568.5000,7003.5000
4844.0000,4563.5000,5842.0000,5544.0000,4863.0000,4203.0000,4821.5000,4027.0000,4772.0000,7556.0000,7214.0000,7441.0000,7519.0000,7007.0000
4947.0000,4565.0000,5844.0000,5499.5000,4918.0000,4225.5000,4799.5000,4042.5000,4769.5000,7597.5000,7304.5000,7413.0000,7588.0000,7018.5000
4860.0000,4535.0000,5711.0000,5470.5000,4847.0000,4191.0000,4813.0000,3968.0000,4748.0000,7555.5000,7230.5000,7385.0000,7543.5000,6886.5000
4800.5000,4462.0000,5659.5000,5477.5000,4794.0000,4158.0000,4755.5000,3957.5000,4652.5000,7482.5000,7251.5000,7299.0000,7520.0000,6971.5000
4830.0000,4484.5000,5691.5000,5447.5000,4763.0000,4152.5000,4731.5000,4013.0000,4709.5000,7451.0000,7233.5000,7309.5000,7436.0000,6918.0000
4758.0000,4432.5000,5629.5000,5421.0000,4804.5000,4133.0000,4718.5000,3969.5000,4643.0000,7400.0000,7154.0000,7212.5000,7362.5000,6948.5000
4801.0000,4451.5000,5658.0000,5430.0000,4803.5000,4165.5000,4702.0000,3983.5000,4636.0000,7421.5000,7209.0000,7344.0000,7481.5000,6856.5000
4725.0000,4403.5000,5557.0000,5399.0000,4815.0000,4143.5000,4716.0000,3960.5000,4577.0000,7318.0000,7153.0000,7254.0000,7339.5000,6846.0000
4743.5000,4401.0000,5639.5000,5409.5000,4785.0000,4142.0000,4700.0000,3909.5000,4592.5000,7370.5000,7127.0000,7254.0000,7362.0000,6829.5000
4798.5000,4416.0000,5585.5000,5407.0000,4747.5000,4129.0000,4720.0000,3943.0000,4571.5000,7370.0000,7105.0000,7219.0000,7408.0000,6826.0000
