Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T7_mixture_order,Mixture Complexity,RF,p1,3,0.7457676077384962,0.7804511278195488,0.7419354838709677
T7_mixture_order,Mixture Complexity,RF,p1,4,0.8104233987902892,0.7833333333333333,0.9177215189873418
T7_mixture_order,Mixture Complexity,SVM,p1,0,0.7889354872113493,0.8115925830484759,0.7981220657276995
T7_mixture_order,Mixture Complexity,SVM,p1,1,0.7439024390243903,0.7454051796157058,0.7587939698492462
T7_mixture_order,Mixture Complexity,SVM,p1,2,0.7591442374051071,0.7480812901014385,0.797979797979798
T7_mixture_order,Mixture Complexity,SVM,p1,3,0.7918335648417165,0.8159147869674185,0.7849462365591398
T7_mixture_order,Mixture Complexity,SVM,p1,4,0.6973461321287409,0.6851540616246498,0.8354430379746836
T7_mixture_order,Mixture Complexity,PLS-DA,p1,0,0.8710872482645385,0.8626744201690412,0.8685446009389671
T7_mixture_order,Mixture Complexity,PLS-DA,p1,1,0.7503630660017747,0.7340948525159051,0.7386934673366834
T7_mixture_order,Mixture Complexity,PLS-DA,p1,2,0.4294733665796443,0.4590684147948198,0.5555555555555556
T7_mixture_order,Mixture Complexity,PLS-DA,p1,3,0.7078073866292659,0.7194235588972431,0.7150537634408602
T7_mixture_order,Mixture Complexity,PLS-DA,p1,4,0.8115830115830116,0.7809523809523808,0.8987341772151899
T1b_thiram_3c,Thiram Semi-Quant,RF,p1,0,0.8036415194867527,0.8088321099190665,0.812206572769953
T1b_thiram_3c,Thiram Semi-Quant,RF,p1,1,0.7089666283894919,0.7330612244897959,0.7035175879396985
T1b_thiram_3c,Thiram Semi-Quant,RF,p1,2,0.6475809757368267,0.6297222222222222,0.6565656565656566
T1b_thiram_3c,Thiram Semi-Quant,RF,p1,3,0.6287998300268239,0.6614994934143871,0.7204301075268817
T1b_thiram_3c,Thiram Semi-Quant,RF,p1,4,0.6700757575757575,0.6735540959678891,0.6645569620253164
T1b_thiram_3c,Thiram Semi-Quant,SVM,p1,0,0.7213250832936696,0.7496329757199321,0.704225352112676
T1b_thiram_3c,Thiram Semi-Quant,SVM,p1,1,0.7397479647204076,0.7597278911564626,0.7336683417085427
T1b_thiram_3c,Thiram Semi-Quant,SVM,p1,2,0.6957191305017392,0.6783333333333333,0.6919191919191919
T1b_thiram_3c,Thiram Semi-Quant,SVM,p1,3,0.6198392656725991,0.6349544072948329,0.6720430107526881
T1b_thiram_3c,Thiram Semi-Quant,SVM,p1,4,0.7066137566137566,0.6917533296843641,0.7215189873417721
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p1,0,0.6497956585237157,0.639351590438547,0.6713615023474179
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p1,1,0.6337344075434154,0.6478004535147392,0.6231155778894473
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p1,2,0.6116768706901534,0.5986111111111111,0.6313131313131313
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p1,3,0.7031851084797823,0.6987841945288754,0.7204301075268817
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p1,4,0.628780924882084,0.6365170589308521,0.6392405063291139
T2b_mg_3c,MG Semi-Quant,RF,p1,0,0.7016700494961364,0.6817256817256817,0.7511737089201878
T2b_mg_3c,MG Semi-Quant,RF,p1,1,0.6080312877964397,0.5856420869983328,0.6432160804020101
T2b_mg_3c,MG Semi-Quant,RF,p1,2,0.6130123866683693,0.7446911196911197,0.6212121212121212
T2b_mg_3c,MG Semi-Quant,RF,p1,3,0.5096313305268528,0.5063209737122781,0.5591397849462365
T2b_mg_3c,MG Semi-Quant,RF,p1,4,0.6110880923647951,0.6104133961276819,0.6265822784810127
T2b_mg_3c,MG Semi-Quant,SVM,p1,0,0.6350175276122969,0.6598833265499932,0.6713615023474179
T2b_mg_3c,MG Semi-Quant,SVM,p1,1,0.428527737492724,0.4301755541270114,0.4723618090452261
T2b_mg_3c,MG Semi-Quant,SVM,p1,2,0.5954664438874965,0.7552284427284427,0.6313131313131313
T2b_mg_3c,MG Semi-Quant,SVM,p1,3,0.5401433691756273,0.5353849049501224,0.543010752688172
T2b_mg_3c,MG Semi-Quant,SVM,p1,4,0.592807924203273,0.5926996979628559,0.6075949367088608
T2b_mg_3c,MG Semi-Quant,PLS-DA,p1,0,0.6644414709089107,0.6809116809116809,0.7089201877934272
T2b_mg_3c,MG Semi-Quant,PLS-DA,p1,1,0.5054094834187896,0.5239681817944256,0.4874371859296482
T2b_mg_3c,MG Semi-Quant,PLS-DA,p1,2,0.6271441202475686,0.7045527670527671,0.5505050505050505
T2b_mg_3c,MG Semi-Quant,PLS-DA,p1,3,0.6283548938060552,0.6403334588117197,0.6397849462365591
T2b_mg_3c,MG Semi-Quant,PLS-DA,p1,4,0.6505798728020951,0.6544474739963462,0.6708860759493671
T3b_mba_3c,MBA Semi-Quant,RF,p1,0,0.7447622912017312,0.7380735165545292,0.7417840375586855
T3b_mba_3c,MBA Semi-Quant,RF,p1,1,0.8968668990792885,0.8710496182827386,0.9447236180904522
T3b_mba_3c,MBA Semi-Quant,RF,p1,2,0.8749386528014987,0.8618138936535162,0.8838383838383839
T3b_mba_3c,MBA Semi-Quant,RF,p1,3,0.5107677785461052,0.5152482269503545,0.489247311827957
T3b_mba_3c,MBA Semi-Quant,RF,p1,4,0.8544764315090161,0.8544764315090161,0.8734177215189873
T3b_mba_3c,MBA Semi-Quant,SVM,p1,0,0.7763463795594078,0.7876515756262591,0.7746478873239436
T3b_mba_3c,MBA Semi-Quant,SVM,p1,1,0.8365947099615441,0.8475929090090036,0.8341708542713567
T3b_mba_3c,MBA Semi-Quant,SVM,p1,2,0.656248097563194,0.693003144654088,0.6717171717171717
T3b_mba_3c,MBA Semi-Quant,SVM,p1,3,0.5686256742476031,0.6093306737588652,0.5591397849462365
T3b_mba_3c,MBA Semi-Quant,SVM,p1,4,0.94320987654321,0.9502267215016346,0.9493670886075948
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p1,0,0.7868673382692074,0.7779393317368001,0.7793427230046949
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p1,1,0.8229206511113945,0.8075815577080693,0.8844221105527639
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p1,2,0.7256048200138846,0.785901467505241,0.7171717171717171
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p1,3,0.5732580584065733,0.6035401891252955,0.5645161290322581
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p1,4,0.7249726576740795,0.7312032057365813,0.740506329113924
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,0,0.3619264761602651,0.3885110023007492,0.431924882629108
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,1,0.5063951200314837,0.5215916366546619,0.5226130653266332
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,2,0.5451366006934668,0.5534134615384616,0.5606060606060606
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,3,0.5987498025651803,0.6541572057298237,0.6075268817204301
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,4,0.3601879634885879,0.3896520146520146,0.360759493670886
T2_mg_conc,MG Concentration,1D-CNN,p1,0,0.2984562419071225,0.3402123475652887,0.323943661971831
T2_mg_conc,MG Concentration,1D-CNN,p1,1,0.3142265842723858,0.3701909638401138,0.4020100502512563
T2_mg_conc,MG Concentration,1D-CNN,p1,2,0.3156511712586479,0.4390685328185328,0.3383838383838384
T2_mg_conc,MG Concentration,1D-CNN,p1,3,0.2259615384615384,0.3097826086956521,0.3548387096774194
T2_mg_conc,MG Concentration,1D-CNN,p1,4,0.2332751396648044,0.3005298273155416,0.379746835443038
T3_mba_conc,MBA Concentration,1D-CNN,p1,0,0.4913217392965265,0.5071987501335328,0.6009389671361502
T3_mba_conc,MBA Concentration,1D-CNN,p1,1,0.4440879245456177,0.5033483132271642,0.4271356783919598
T3_mba_conc,MBA Concentration,1D-CNN,p1,2,0.5495283632836419,0.6062088274044796,0.5656565656565656
T3_mba_conc,MBA Concentration,1D-CNN,p1,3,0.3047623956293165,0.2734042553191489,0.3064516129032258
T3_mba_conc,MBA Concentration,1D-CNN,p1,4,0.4379077307707332,0.5435294900812142,0.3924050632911392
T4_thiram_pres,Thiram Presence,1D-CNN,p1,0,0.5915192840400596,0.5909090909090909,0.7887323943661971
T4_thiram_pres,Thiram Presence,1D-CNN,p1,1,0.6141497948324841,0.6024489795918367,0.7839195979899497
T4_thiram_pres,Thiram Presence,1D-CNN,p1,2,0.4936061381074169,0.53125,0.7727272727272727
T4_thiram_pres,Thiram Presence,1D-CNN,p1,3,0.4739393939393939,0.5434782608695652,0.6612903225806451
T4_thiram_pres,Thiram Presence,1D-CNN,p1,4,0.6114117068371864,0.6766848816029144,0.6518987341772152
T5_mg_pres,MG Presence,1D-CNN,p1,0,0.5179882695238536,0.5462962962962963,0.7699530516431925
T5_mg_pres,MG Presence,1D-CNN,p1,1,0.4346590909090909,0.5,0.7688442211055276
T5_mg_pres,MG Presence,1D-CNN,p1,2,0.3850931677018633,0.5,0.6262626262626263
T5_mg_pres,MG Presence,1D-CNN,p1,3,0.4654778571954904,0.5125,0.7903225806451613
T5_mg_pres,MG Presence,1D-CNN,p1,4,0.4015151515151515,0.5,0.6708860759493671
