Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T7_mixture_order,Mixture Complexity,SVM,raw,3,0.521032216972565,0.5089598997493735,0.4946236559139785
T7_mixture_order,Mixture Complexity,SVM,raw,4,0.3330995792426368,0.2647058823529412,0.3481012658227848
T7_mixture_order,Mixture Complexity,PLS-DA,raw,0,0.5598257080610022,0.6251276813074566,0.7323943661971831
T7_mixture_order,Mixture Complexity,PLS-DA,raw,1,0.6874058980019244,0.6819291819291818,0.7537688442211056
T7_mixture_order,Mixture Complexity,PLS-DA,raw,2,0.5647319230555163,0.5474348468781131,0.6161616161616161
T7_mixture_order,Mixture Complexity,PLS-DA,raw,3,0.7744293312920764,0.7701754385964912,0.8440860215053764
T7_mixture_order,Mixture Complexity,PLS-DA,raw,4,0.6403907474939662,0.6642857142857143,0.8544303797468354
T1b_thiram_3c,Thiram Semi-Quant,RF,raw,0,0.6786831740651822,0.684860248447205,0.704225352112676
T1b_thiram_3c,Thiram Semi-Quant,RF,raw,1,0.5985109180690196,0.5844897959183674,0.5728643216080402
T1b_thiram_3c,Thiram Semi-Quant,RF,raw,2,0.7023805449177477,0.7288888888888888,0.6919191919191919
T1b_thiram_3c,Thiram Semi-Quant,RF,raw,3,0.5040141081220614,0.5688589342613395,0.6344086021505376
T1b_thiram_3c,Thiram Semi-Quant,RF,raw,4,0.637165526849901,0.6381134829410691,0.6329113924050633
T1b_thiram_3c,Thiram Semi-Quant,SVM,raw,0,0.6168368245027284,0.6470355731225297,0.6056338028169014
T1b_thiram_3c,Thiram Semi-Quant,SVM,raw,1,0.56243630819902,0.5929251700680273,0.5477386934673367
T1b_thiram_3c,Thiram Semi-Quant,SVM,raw,2,0.6148637103184922,0.6699999999999999,0.6212121212121212
T1b_thiram_3c,Thiram Semi-Quant,SVM,raw,3,0.4811270600744284,0.5666666666666667,0.6344086021505376
T1b_thiram_3c,Thiram Semi-Quant,SVM,raw,4,0.5276294429254955,0.5841543513957307,0.4810126582278481
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,raw,0,0.6266542026774636,0.6024468285337851,0.6666666666666666
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,raw,1,0.427257743677181,0.4312018140589569,0.4422110552763819
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,raw,2,0.5584800135361933,0.5480555555555555,0.5757575757575758
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,raw,3,0.5899494563834042,0.5887288372024727,0.5913978494623656
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,raw,4,0.604338634065631,0.5771300857507754,0.7025316455696202
T2b_mg_3c,MG Semi-Quant,RF,raw,0,0.5763721976245696,0.5489078822412156,0.6666666666666666
T2b_mg_3c,MG Semi-Quant,RF,raw,1,0.6345095158157549,0.6481313075881822,0.6683417085427136
T2b_mg_3c,MG Semi-Quant,RF,raw,2,0.6189568146892269,0.7652027027027026,0.6767676767676768
T2b_mg_3c,MG Semi-Quant,RF,raw,3,0.583280646294345,0.5853284396762658,0.6236559139784946
T2b_mg_3c,MG Semi-Quant,RF,raw,4,0.6824721377912867,0.6854246421915594,0.6962025316455697
T2b_mg_3c,MG Semi-Quant,SVM,raw,0,0.5890148560334217,0.5565730565730566,0.676056338028169
T2b_mg_3c,MG Semi-Quant,SVM,raw,1,0.6994137861330098,0.7089219544573186,0.7537688442211056
T2b_mg_3c,MG Semi-Quant,SVM,raw,2,0.7494806485119451,0.8141891891891891,0.7676767676767676
T2b_mg_3c,MG Semi-Quant,SVM,raw,3,0.5381750194250193,0.553618482966309,0.6290322580645161
T2b_mg_3c,MG Semi-Quant,SVM,raw,4,0.4517162471395881,0.5014390371533229,0.5189873417721519
T2b_mg_3c,MG Semi-Quant,PLS-DA,raw,0,0.6030491247882552,0.5703432370099036,0.6713615023474179
T2b_mg_3c,MG Semi-Quant,PLS-DA,raw,1,0.6892437405526411,0.6945389548283919,0.7236180904522613
T2b_mg_3c,MG Semi-Quant,PLS-DA,raw,2,0.6969559679840053,0.7915057915057915,0.7525252525252525
T2b_mg_3c,MG Semi-Quant,PLS-DA,raw,3,0.6558364816429333,0.6422924901185771,0.6720430107526881
T2b_mg_3c,MG Semi-Quant,PLS-DA,raw,4,0.322686713115756,0.4145735217163788,0.4367088607594936
T3b_mba_3c,MBA Semi-Quant,RF,raw,0,0.7011263782507413,0.7037176416923252,0.6948356807511737
T3b_mba_3c,MBA Semi-Quant,RF,raw,1,0.6947143499775078,0.7247885026403682,0.7236180904522613
T3b_mba_3c,MBA Semi-Quant,RF,raw,2,0.6755079537364006,0.7031637125976747,0.6717171717171717
T3b_mba_3c,MBA Semi-Quant,RF,raw,3,0.4136554259780547,0.4418882978723404,0.4193548387096774
T3b_mba_3c,MBA Semi-Quant,RF,raw,4,0.7994810586403736,0.7754929874512285,0.8670886075949367
T3b_mba_3c,MBA Semi-Quant,SVM,raw,0,0.4933470366563892,0.5266430987949976,0.4976525821596244
T3b_mba_3c,MBA Semi-Quant,SVM,raw,1,0.5655255715812567,0.6317713387589378,0.4924623115577889
T3b_mba_3c,MBA Semi-Quant,SVM,raw,2,0.6379392442658144,0.6583762149799885,0.6313131313131313
T3b_mba_3c,MBA Semi-Quant,SVM,raw,3,0.3890747811938222,0.4211657801418439,0.4193548387096774
T3b_mba_3c,MBA Semi-Quant,SVM,raw,4,0.9162640901771336,0.9518084994200148,0.9177215189873418
T3b_mba_3c,MBA Semi-Quant,PLS-DA,raw,0,0.3950678583250579,0.4093359181966776,0.4272300469483568
T3b_mba_3c,MBA Semi-Quant,PLS-DA,raw,1,0.7402444255053671,0.7207222761342867,0.7889447236180904
T3b_mba_3c,MBA Semi-Quant,PLS-DA,raw,2,0.3944523482505411,0.4006932532875929,0.4797979797979798
T3b_mba_3c,MBA Semi-Quant,PLS-DA,raw,3,0.6806094932005745,0.6777304964539007,0.6774193548387096
T3b_mba_3c,MBA Semi-Quant,PLS-DA,raw,4,0.6987523332350918,0.6862701676684594,0.7911392405063291
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,0,0.348883803712179,0.3853106011444752,0.4131455399061033
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,1,0.316830035971223,0.3243857543017207,0.3819095477386934
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,2,0.3750700708835613,0.3822596153846154,0.3888888888888889
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,3,0.535397346322594,0.5534185518459338,0.5376344086021505
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,4,0.4727147307521139,0.4848710317460317,0.4556962025316455
T2_mg_conc,MG Concentration,1D-CNN,raw,0,0.366877231634957,0.3650298503239679,0.3755868544600939
T2_mg_conc,MG Concentration,1D-CNN,raw,1,0.5469032882825986,0.5468332218071755,0.5879396984924623
T2_mg_conc,MG Concentration,1D-CNN,raw,2,0.2080449078480574,0.3973214285714286,0.2272727272727272
T2_mg_conc,MG Concentration,1D-CNN,raw,3,0.412457900389454,0.4041975023126734,0.4408602150537634
T2_mg_conc,MG Concentration,1D-CNN,raw,4,0.2207767785797704,0.2845962519623234,0.2215189873417721
T3_mba_conc,MBA Concentration,1D-CNN,raw,0,0.3952750971734558,0.4018650072997899,0.4272300469483568
T3_mba_conc,MBA Concentration,1D-CNN,raw,1,0.5532998044003092,0.6232268584022156,0.5628140703517588
T3_mba_conc,MBA Concentration,1D-CNN,raw,2,0.389655172413793,0.3982007575757575,0.3888888888888889
T3_mba_conc,MBA Concentration,1D-CNN,raw,3,0.3196976758550596,0.366247582205029,0.3870967741935484
