Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
T1_thiram_conc,Thiram Concentration,SVM,raw,0.483646851082871,0.0229895770935523,0.5300103052886755,0.0494982972987279,0.5099082669048018,0.0447160693077809
T2_mg_conc,MG Concentration,PLS-DA,raw,0.4606904303609864,0.0800973941943487,0.5209169331242257,0.0867520752319604,0.5057513569839085,0.0886811644374504
T2_mg_conc,MG Concentration,RF,raw,0.4747243087044511,0.066067411562138,0.517746107594587,0.0651322038907022,0.519747855424944,0.0489751435428954
T2_mg_conc,MG Concentration,SVM,raw,0.3660827987073628,0.1005819166919016,0.4035915648527493,0.0895325082865725,0.3888585206035529,0.1229363800063914
T3_mba_conc,MBA Concentration,PLS-DA,raw,0.3961176380489273,0.0772502075581792,0.4380047720074416,0.0857644122694069,0.4112579656014946,0.0757033111366592
T3_mba_conc,MBA Concentration,RF,raw,0.5081388275344522,0.1302868302911798,0.5366014492006781,0.1315487042842135,0.5206604681534499,0.1138012064823084
T3_mba_conc,MBA Concentration,SVM,raw,0.3891283552899907,0.1338130617334092,0.4215719042269376,0.1411882257667159,0.4080984007573546,0.1244851200561039
T4_thiram_pres,Thiram Presence,PLS-DA,raw,0.7827241224401045,0.1263410151943985,0.7544476881344757,0.1208899102038312,0.8618249290876425,0.0750691966546713
T4_thiram_pres,Thiram Presence,RF,raw,0.8177190059731003,0.0827113421826143,0.8201705115890817,0.0646056275398721,0.8545197749704314,0.0709147346709468
T4_thiram_pres,Thiram Presence,SVM,raw,0.6969086116419796,0.1173596496894351,0.7786768529612333,0.0991799786022091,0.7122832111844398,0.1161197930811093
T5_mg_pres,MG Presence,PLS-DA,raw,0.6412634059373643,0.1006220284627802,0.6386558523500387,0.0851825801930259,0.7597081383972523,0.0582880791441573
T5_mg_pres,MG Presence,RF,raw,0.7078802123086009,0.0974473465604639,0.6951753765258741,0.1007007211929431,0.803455513964445,0.0427861175387857
T5_mg_pres,MG Presence,SVM,raw,0.6788049974239835,0.1159678490189548,0.6732422478756618,0.1221574501972707,0.7805386449877488,0.0724606036376962
T6_mba_pres,MBA Presence,PLS-DA,raw,0.7628037799434979,0.2009591605051481,0.7589633217449887,0.2010936634342704,0.840834048964034,0.1499076079756298
T6_mba_pres,MBA Presence,RF,raw,0.8113690733224835,0.093987351731345,0.8211173354420671,0.1028394961833287,0.8495412579824541,0.091957561033357
T6_mba_pres,MBA Presence,SVM,raw,0.5737781899736669,0.1369106140206598,0.6462770854337834,0.157323661767515,0.628239468717837,0.1530603855902825
T7_mixture_order,Mixture Complexity,PLS-DA,raw,0.6453567215808971,0.0898170990471355,0.6577905725993913,0.0813948218532765,0.7601682455664234,0.096795910404463
T7_mixture_order,Mixture Complexity,RF,raw,0.6890012025563218,0.1563746570460453,0.6945666538414856,0.155476317635416,0.7206178860311357,0.1192432830324039
T7_mixture_order,Mixture Complexity,SVM,raw,0.4406293753768075,0.1344273149027446,0.4577908676422397,0.1663149220686449,0.4685027329709658,0.1075261947797756
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,raw,0.5613360100679746,0.0789296514325419,0.5495126242203091,0.0691054201537031,0.5957129585465221,0.1005290161713948
T1b_thiram_3c,Thiram Semi-Quant,RF,raw,0.6241508544047824,0.0780276941330014,0.6410422700913739,0.0671830294087723,0.6472657720391017,0.0527855390415138
T1b_thiram_3c,Thiram Semi-Quant,SVM,raw,0.5605786692040329,0.0581238037612045,0.6121563522505908,0.0441183339104335,0.578001175574949,0.0635120776005127
T2b_mg_3c,MG Semi-Quant,PLS-DA,raw,0.5935544056167182,0.1558740240126242,0.6226507990358086,0.1415079024610007,0.6512513433674227,0.1248584593952118
T2b_mg_3c,MG Semi-Quant,RF,raw,0.6191182624430367,0.0429016056112343,0.6465989948799852,0.0849621280398916,0.6663268995202243,0.0265826594259928
T2b_mg_3c,MG Semi-Quant,SVM,raw,0.6055601114485969,0.1204201643514057,0.6269483440678393,0.1302510485786475,0.669104309952542,0.1013333816632754
T3b_mba_3c,MBA Semi-Quant,PLS-DA,raw,0.5818252917033264,0.1721291900881486,0.5789504223481835,0.159623766746955,0.6329062691418932,0.1711081119804195
T3b_mba_3c,MBA Semi-Quant,RF,raw,0.6568970333166156,0.1442475602651361,0.6698102284507874,0.1307689089566835,0.6753228778450442,0.1620338778774548
T3b_mba_3c,MBA Semi-Quant,SVM,raw,0.6004301447748832,0.1990692245185083,0.6379529864191565,0.1989643108462545,0.5917008765455127,0.1976455926914297
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,0.4144801160670625,0.0890240338716819,0.4293270829125274,0.0886463947021956,0.4376428258670577,0.0612705581669108
T2_mg_conc,MG Concentration,1D-CNN,raw,0.3508886556559387,0.1413034824258119,0.3981349657112991,0.0957502967743824,0.3687577622518633,0.1540643643091259
T3_mba_conc,MBA Concentration,1D-CNN,raw,0.450255806846361,0.0857110567291798,0.4989598058351959,0.1019706308873806,0.4571892602626474,0.0611241743128825
